name;player_id;year;player_age;pa;hit;single;double;triple;home_run;k_percent;bb_percent;batting_avg;slg_percent;on_base_percent;isolated_power;babip;b_rbi;r_total_caught_stealing;r_total_stolen_base;b_foul;b_foul_tip;b_gnd_into_dp;b_hit_by_pitch;b_intent_walk;b_pinch_hit;b_pinch_run;b_sac_bunt;b_sac_fly;b_swinging_strike;r_run;r_stolen_base_pct;xba;xslg;xwoba;xobp;xiso;xbadiff;xslgdiff;avg_swing_speed;fast_swing_rate;swords;ideal_angle_rate;exit_velocity_avg;sweet_spot_percent;barrel_batted_rate;solidcontact_percent;flareburner_percent;poorlyunder_percent;poorlytopped_percent;poorlyweak_percent;hard_hit_percent;avg_best_speed;z_swing_percent;z_swing_miss_percent;oz_swing_percent;oz_swing_miss_percent;oz_contact_percent;out_zone_percent;meatball_swing_percent;meatball_percent;iz_contact_percent;in_zone_percent;edge_percent;whiff_percent;swing_percent;pull_percent;straightaway_percent;opposite_percent;f_strike_percent;groundballs_percent;flyballs_percent;linedrives_percent;popups_percent;hp_to_1b;sprint_speed
Myers, Dane;667472;2024;28;108;25;15;6;1;3;33.3;7.4;0.263;0.442;0.333;0.179;0.379;19;1;4;69;5;0;3;0;8;1;0;2;45;17;;0.235;0.4;0.317;0.314;0.165;0.028;0.042;71.2;15.8;1;48.1;89.9;32.8;11.5;1.6;27.9;23;34.4;1.6;47.5;100.494369677;60.1;24.6;26.2;41.5;58.5;47.5;75;6.6;75.4;52.5;45.2;29.4;44;26.2;47.5;26.2;57.4;44.3;27.9;23;4.9;4.36;28.5
Martínez, Angel;682657;2024;22;169;35;25;7;0;3;19.5;8.9;0.232;0.338;0.298;0.106;0.274;11;1;3;141;7;2;0;0;0;1;1;2;51;16;;0.222;0.303;0.271;0.293;0.081;0.01;0.035;69;6.4;3;49.3;86.5;29.8;1.7;5.8;23.1;27.3;36.4;5.8;32.2;96.829146271;62;11.8;35.9;32.8;67.2;51.4;77.8;8;88.2;48.6;44;19.8;48.6;41.3;41.3;17.4;63.9;44.6;24.8;21.5;9.1;4.39;27.6
Hampson, Garrett;641658;2024;29;231;49;35;13;1;0;25.5;6.1;0.23;0.3;0.275;0.07;0.314;16;2;7;156;6;3;0;0;29;10;2;2;83;16;;0.206;0.282;0.244;0.255;0.076;0.024;0.018;69;2.6;4;55;86;31.6;4.4;5.7;20.9;32.9;28.5;7.6;30.4;96.882247895;66.1;16;26.3;42.6;57.4;46.5;78.6;7.9;84;53.5;44.8;22.9;47.6;34.8;33.5;31.6;62.8;38.6;29.7;22.8;8.9;4.22;29.8
Clemens, Kody;665019;2024;28;120;25;10;9;1;5;24.2;4.2;0.219;0.447;0.258;0.228;0.25;18;0;0;86;12;2;1;0;4;0;0;0;42;17;;0.192;0.346;0.252;0.233;0.154;0.027;0.101;70.5;4.3;1;64.9;89.4;30.6;7.1;8.2;18.8;37.6;25.9;2.4;42.4;99.387885814;63.5;20.6;33.5;36;64;47.9;66.7;7.7;79.4;52.1;42.3;25.7;49.1;42.4;37.6;20;58.3;37.6;36.5;16.5;9.4;4.42;27.7
Lewis, Royce;668904;2024;25;325;68;36;16;0;16;22.8;8.6;0.233;0.452;0.295;0.219;0.251;47;0;0;244;13;5;0;2;2;0;0;5;155;40;;0.242;0.431;0.317;0.306;0.188;-0.009;0.021;73.3;36.1;13;57.2;87.1;36.3;11.2;5.4;20.6;30.5;26.5;5.8;37.7;99.690144144;72.8;19.4;33.3;41.9;58.1;52.9;82.9;6.2;80.6;47.1;40.8;27;51.9;46.6;34.1;19.3;63.8;36.8;30.5;21.1;11.7;4.44;26.6
Solano, Donovan;456781;2024;36;309;81;60;13;0;8;21;7.1;0.286;0.417;0.343;0.131;0.346;35;1;2;241;13;6;3;0;5;1;0;1;119;31;;0.257;0.377;0.307;0.317;0.121;0.029;0.04;67.1;1.4;11;45.4;87.3;37;3.7;7.3;31.5;21.9;31.1;4.1;37.4;98.057695046;63.8;13.6;29.6;45.9;54.1;48.5;69.2;8.4;86.4;51.5;40.8;23.5;47.2;30.6;44.3;25.1;63.4;43.4;25.6;26;5;4.7;25.5
Matos, Luis;682641;2024;22;156;32;22;5;0;5;15.4;3.2;0.213;0.347;0.237;0.134;0.221;25;0;0;122;6;5;0;1;6;1;0;1;35;14;;0.241;0.355;0.267;0.263;0.115;-0.028;-0.008;71.7;18.3;2;53.8;86.9;29.1;3.9;7.1;22.8;33.9;28.3;3.9;37;98.298414688;68.9;7.6;40.1;28.8;71.2;50.9;74.3;6.4;92.4;49.1;41.9;15.6;54.2;47.2;37;15.7;60.9;38.6;29.1;21.3;11;4.42;27.8
Barnes, Austin;605131;2024;34;156;37;33;3;0;1;23.1;9;0.264;0.307;0.331;0.043;0.35;11;0;3;108;9;3;0;0;7;0;2;0;53;12;;0.229;0.291;0.269;0.299;0.063;0.035;0.016;68.2;2.2;9;41.6;86.3;30.2;1.9;3.8;27.4;21.7;40.6;4.7;31.1;96.963688654;69.8;15.7;19.6;53.8;46.2;44.7;85.2;9.1;84.3;55.3;41.3;22.8;47.4;37.7;37.7;24.5;61.5;50;16;25.5;8.5;4.75;25.8
Julien, Edouard;666397;2024;25;301;53;36;9;0;8;33.9;11;0.199;0.323;0.292;0.124;0.288;21;0;6;181;13;2;2;0;20;1;0;0;137;36;;0.197;0.353;0.287;0.291;0.155;0.002;-0.03;71.9;17;10;44.8;87.8;38.4;9.8;7.9;22.6;22;34.1;3.7;37.8;98.889968415;63.1;21.9;17.8;63.3;36.7;49.6;77.8;7.3;78.1;50.4;44.1;30.9;40.6;36;32.9;31.1;61.1;45.1;31.7;23.2;0;4.4;26.7
Tena, José;677588;2024;23;168;43;35;5;0;3;24.4;4.2;0.267;0.354;0.298;0.087;0.342;15;1;6;136;8;1;0;0;1;0;0;0;62;14;;0.254;0.415;0.304;0.286;0.161;0.013;-0.061;71.2;19.5;3;38.3;91.2;30.8;8.3;4.2;32.5;17.5;29.2;6.7;49.2;100.972500862;67.3;16.2;32.9;40;60;49.6;75;8.3;83.8;50.4;41.9;24;50.2;24.2;44.2;31.7;63.7;47.5;21.7;25;5.8;4.23;28.1
