"last_name, first_name","player_id","year","player_age","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_foul","b_foul_tip","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_pinch_hit","b_pinch_run","b_sac_bunt","b_sac_fly","b_swinging_strike","r_run","r_stolen_base_pct","xba","xslg","xwoba","xobp","xiso","xbadiff","xslgdiff","avg_swing_speed","fast_swing_rate","swords","ideal_angle_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","hp_to_1b","sprint_speed"
"Castro, Willi",650489,2021,24,450,91,61,15,6,9,24.2,5.1,".220",".351",".273","0.131",".275","38","4","9","338","21","5","8","1","3","4","3","3","227","56",,".239",".358",".286",".291",".119","-0.019","-0.007",,,,,"85.6",35.2,5.2,2.9,25.5,22.6,36.1,7.4,29.4,"98.135850329",74.6,18.2,40,48.1,51.9,52.2,77.1,7.2,81.8,47.8,44.7,29.3,56.6,29.7,35.2,35.2,67.6,48.1,22.9,22.6,6.5,"4.24","28.7"
"Stewart, DJ",621466,2021,27,318,55,33,10,0,12,28,13.8,".204",".374",".324","0.170",".254","33","0","0","244","19","3","4","1","11","0","0","0","164","39",,".205",".382",".314",".325",".176","-0.001","-0.008",,,,,"87.8",29.3,9.4,4.4,22.1,33.7,26.5,3.9,34.3,"99.077311",72.5,23.1,22.4,59.3,40.7,50.5,92.5,8.1,76.9,49.5,39.7,31.8,47.1,33.1,37.6,29.3,60.9,35.9,29.8,19.3,14.9,"4.48","26.7"
"Kiner-Falefa, Isiah",643396,2021,26,677,172,136,25,3,8,13.3,4.1,".271",".357",".312","0.086",".304","53","5","20","404","16","11","11","2","1","1","1","2","127","74",,".267",".349",".292",".309",".082",".004",".008",,,,,"85.5",31.6,1.8,3.5,27.9,19.5,41.2,5.8,28.8,"96.328326447",62.6,6.9,30.7,29.9,70.1,50.4,62.7,6.9,93.1,49.6,42.8,14.5,46.5,31.6,38.5,29.9,60.6,54.4,15.5,25.9,4.2,"4.3","28.0"
"France, Ty",664034,2021,26,650,166,115,32,1,18,16.3,7.1,".291",".445",".368","0.154",".327","73","0","0","503","20","13","27","1","0","0","0","6","190","85",,".270",".435",".346",".353",".165",".021",".010",,,,,"88.5",35.9,6.8,5.3,29.7,22.3,32.1,3.6,38.9,"99.630842766",72.1,10.5,30,38.4,61.6,51.8,80,7.3,89.5,48.2,41.4,19.1,50.3,35.7,38.6,25.7,58,46.7,21.2,26.5,5.5,"4.78","25.3"
"Donaldson, Josh",518626,2021,35,543,113,61,26,0,26,21,13.6,".247",".475",".352","0.228",".268","72","0","0","343","22","22","4","2","0","0","0","8","237","73",,".269",".542",".388",".372",".273","-0.022","-0.067",,,,,"94.1",30.2,17.4,4.8,18.5,24.8,32.5,1.7,52.7,"104.204804343",70.2,22.5,22.6,42.1,57.9,52.6,83.8,7.5,77.5,47.4,39.6,27.6,45.2,42.5,35.9,21.7,57.9,43.9,28.5,20.5,7.1,"4.83","24.6"
"Ohtani, Shohei",660271,2021,26,639,138,58,26,8,46,29.6,15,".257",".592",".372","0.335",".303","100","10","26","422","25","7","4","20","0","0","0","2","370","103",,".266",".612",".408",".382",".346","-0.009","-0.020",,,,,"93.6",35.4,22.3,6.6,20,21.7,24.9,3.4,53.6,"105.900177151",69.7,26.9,27.3,51.5,48.5,56.2,86.4,6.6,73.1,43.8,41.9,35.1,45.8,46.6,30.6,22.9,57.9,39.7,34.6,20.9,4.9,"4.09","28.8"
"Walsh, Jared",665120,2021,27,585,147,83,34,1,29,26,8.2,".277",".509",".340","0.232",".335","98","1","2","436","32","7","4","6","0","1","0","3","247","70",,".256",".434",".326",".322",".178",".021",".075",,,,,"89.6",33.6,11.3,5,26,17.1,36.2,3.9,41.3,"101.660333632",68.5,19.7,31.5,38.9,61.1,51.8,80.3,7.7,80.3,48.2,42.9,26.1,49.3,37.3,41.7,21,58,49.6,19.7,24.9,5.8,"4.43","27.0"
"Mountcastle, Ryan",663624,2021,24,586,136,79,23,1,33,27.5,7,".255",".487",".309","0.232",".297","89","3","4","485","26","12","4","2","0","0","0","7","351","77",,".245",".457",".326",".303",".212",".010",".030",,,,,"89.1",38.9,11.8,6.1,22.6,30,26.1,3.4,39.7,"100.499725842",76,22.8,38.2,46,54,55.2,89,6.4,77.2,44.8,41.6,31.6,55.1,38.7,32.9,28.4,66.2,35.5,33.9,24.7,5.8,"4.44","28.0"
"Moreland, Mitch",519048,2021,35,252,52,30,11,1,10,23,7.1,".227",".415",".286","0.188",".256","30","0","0","153","10","5","2","0","15","0","0","3","127","28",,".226",".395",".297",".286",".170",".001",".020",,,,,"91",31.6,9.2,9.8,19,25.3,35.6,1.1,47.7,"101.311393218",69.7,20.2,25.9,57.8,42.2,50.2,80.7,8.4,79.8,49.8,41.1,30.4,47.7,39.7,36.2,24.1,56.7,46,28.7,20.1,5.2,"4.68","24.5"
"Margot, Manuel",622534,2021,26,464,107,76,18,3,10,15.1,8,".254",".382",".313","0.128",".281","57","8","13","326","23","4","1","2","5","2","1","4","139","55",,".268",".397",".318",".328",".129","-0.014","-0.015",,,,,"87.9",31.5,5.1,5.6,23.9,23.3,37.1,4.8,40.2,"99.808768523",72.2,13.1,29.9,38.4,61.6,49.9,81.2,7.8,86.9,50.1,45.1,20.5,51.1,32.9,44.7,22.5,62.1,48,22.2,21.6,8.1,"4.27","28.6"
"Segura, Jean",516416,2021,31,567,149,105,27,3,14,13.8,6.9,".290",".436",".348","0.146",".317","58","3","9","427","14","16","9","3","2","0","1","4","148","76",,".266",".396",".319",".328",".130",".024",".040",,,,,"87.2",31.1,5.9,5.4,22.4,19.5,39.5,6.8,37.4,"99.697739358",66.7,11.4,30.1,30.9,69.1,49.3,71.6,7.4,88.6,50.7,40.2,17.3,48.7,30.2,41.5,28.3,62.4,52.4,19,22.7,5.9,"4.34","27.3"
"Hoerner, Nico",663538,2021,24,170,45,35,10,0,0,14.7,10,".302",".369",".382","0.067",".360","16","3","5","127","3","3","3","3","1","0","0","1","50","13",,".279",".358",".320",".363",".080",".023",".011",,,,,"87",31.2,1.6,4.8,28.8,20,39.2,5.6,34.4,"98.079051129",69.5,11.7,30.4,32.4,67.6,54.6,92.3,6,88.3,45.4,42.9,18.8,48.2,29.6,36.8,33.6,59.8,50.4,17.6,26.4,5.6,"4.28","28.8"
"Escobar, Alcides",444876,2021,34,349,92,65,21,2,4,16,4.9,".288",".404",".340","0.116",".337","28","0","3","287","8","2","9","0","1","0","2","2","144","53",,".271",".362",".309",".325",".091",".017",".042",,,,,"81.7",36.3,3,4.1,27.7,21.7,33,10.5,21,"93.737835538",69.2,15,35.5,35.1,64.9,50.5,75,6.7,85,49.5,41.9,21.9,52.1,31.1,38.2,30.7,63.3,45.3,20.6,28.8,5.2,"4.36","27.5"
"Hernández, Enrique",571771,2021,29,585,127,69,35,3,20,18.8,10.4,".250",".449",".337","0.199",".278","60","0","1","367","13","4","9","0","5","0","0","7","213","84",,".253",".455",".346",".342",".202","-0.003","-0.006",,,,,"90.8",36.5,8.4,9.1,23.7,32.6,24.9,1.2,43.2,"99.999080443",66.8,14,24.9,46.3,53.7,52.9,79.2,7,86,47.1,38.9,23.5,44.6,42.5,31.9,25.7,58.5,33.6,32.6,24.9,8.9,"4.47","27.4"
"Biggio, Cavan",624415,2021,26,294,56,38,10,1,7,26.5,12.6,".224",".356",".322","0.132",".290","27","1","3","168","10","4","1","2","0","4","1","4","107","27",,".207",".331",".285",".308",".124",".017",".025",,,,,"88.9",32.8,5.6,5.6,23.7,31.6,29.4,4,31.6,"97.655151477",63.5,16.8,18.7,57.3,42.7,49.1,73.3,9,83,50.9,43.6,25.7,41.5,34.5,35,30.5,58.4,39,29.4,26,6.2,"4.41","28.3"
"Guerrero Jr., Vladimir",665489,2021,22,698,188,110,29,1,48,15.8,12.3,".311",".601",".401","0.290",".313","111","1","4","361","20","20","6","7","3","0","0","2","296","123",,".311",".597",".421",".402",".286",".000",".004",,,,,"95.1",33.7,15.1,8.9,21.4,19.6,33.3,1.2,55.2,"106.811861538",73.8,18.3,24.5,52.4,47.6,53.7,85.8,6.7,81.7,46.3,42.1,27.8,47.3,37.9,35.9,26.2,63.1,45.6,25.2,24.4,4.8,"4.61","27.0"
