"last_name, first_name","player_id","year","player_age","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_foul","b_foul_tip","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_pinch_hit","b_pinch_run","b_sac_bunt","b_sac_fly","b_swinging_strike","r_run","r_stolen_base_pct","xba","xslg","xwoba","xobp","xiso","xbadiff","xslgdiff","avg_swing_speed","fast_swing_rate","swords","ideal_angle_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","hp_to_1b","sprint_speed"
"Cabrera, Miguel",408234,2023,40,370,86,62,20,0,4,20,8.4,".257",".353",".322","0.096",".317","34","0","0","233","14","11","2","0","2","0","0","3","147","21",,".247",".363",".301",".314",".117",".010","-0.010","68.2",0.7,8,49.5,"89.1",34.2,4.2,7.6,28.1,19.8,38,2.3,37.6,"98.972070682",68.3,18.2,28.2,43.8,56.2,49.8,73.8,7.7,81.8,50.2,41.7,25.6,48.3,35.7,38.8,25.5,63.8,49.8,18.3,27.4,4.6,"5.09","23.1"
"Cruz, Nelson",443558,2023,42,152,35,24,5,1,5,30.3,3.9,".245",".399",".283","0.154",".323","23","0","1","91","8","2","2","1","6","0","0","1","92","9",,".242",".417",".297",".281",".175",".003","-0.018",,,,,"92.4",33.7,9.2,7.1,26.5,23.5,30.6,3.1,48,"103.031683673",66.1,21.5,39.4,59.1,40.9,51.6,72.7,7.8,78.5,48.4,41.7,36.1,52.3,39.8,37.8,22.4,65.1,46.9,22.4,25.5,5.1,"4.91","24.7"
"Peralta, David",444482,2023,35,422,102,69,25,1,7,17.1,4.7,".259",".381",".294","0.122",".296","55","1","4","318","15","8","2","1","32","0","0","6","161","47",,".274",".400",".309",".312",".126","-0.015","-0.019","72.1",24.3,4,41.6,"89.3",31.1,4.9,7,26.5,20.1,36.6,4.6,44.2,"100.838135399",74.3,15.3,34.1,38.8,61.2,49.4,82,8,84.7,50.6,44.5,22.5,54.5,38.4,35.7,25.9,61.3,49.1,21.6,25.3,4,"4.52","27.0"
"Longoria, Evan",446334,2023,37,237,47,27,9,0,11,30.8,9.7,".223",".422",".295","0.199",".277","28","0","0","141","10","8","0","0","15","0","0","3","100","25",,".230",".449",".324",".304",".219","-0.007","-0.027","72",19.8,2,52.3,"92.2",37.6,10.6,8.5,22,27,29.8,2.1,51.8,"102.131802113",58,20.9,29.2,43.4,56.6,52.8,68,8.1,79.1,47.2,42.8,29,42.8,46.8,33.3,19.9,62.9,38.3,33.3,24.1,4.3,"4.76","26.2"
"Blackmon, Charlie",453568,2023,36,413,100,63,24,5,8,13.3,9.4,".279",".440",".363","0.161",".307","40","1","4","269","17","6","11","0","3","0","0","4","118","57",,".269",".406",".339",".357",".137",".010",".034","66.9",1.6,1,51.2,"86.4",39,4.9,5.2,25.6,31.8,28.2,4.2,31.5,"97.605451688",65.8,13.3,28.5,34.4,65.6,49.7,69.5,8.4,86.7,50.3,44.2,19.6,47.3,45.5,32.8,21.8,61,36.4,25.6,27.9,10.1,"4.4","27.6"
"Maldonado, Martín",455117,2023,36,407,69,42,12,0,15,34.2,7.4,".191",".348",".258","0.157",".260","36","0","0","273","16","10","3","0","30","0","12","0","241","33",,".187",".357",".267",".255",".169",".004","-0.009","71.7",15.3,7,46.6,"88.4",32.8,8.5,7.7,20.9,27.2,25.5,10.2,40,"99.511383636",65.5,23.9,32.8,56.1,43.9,48.7,73.9,8.7,76.1,51.3,41.3,34.3,49.6,46,30.6,23.4,62.7,38.7,31.5,20.9,8.9,"5.05","23.2"
"Solano, Donovan",456781,2023,35,450,111,79,26,1,5,22.2,8.9,".282",".391",".369","0.109",".366","38","0","0","344","24","8","15","1","18","1","0","1","184","43",,".284",".429",".351",".371",".145","-0.002","-0.038","68.1",6.1,2,33.9,"90.2",43.1,6.1,8.1,31.9,22,30.2,1.7,43.7,"100.102935676",64.9,16.2,29.9,45,55,50.1,71.1,7.5,83.8,49.9,41.8,25.4,47.4,34.2,43.4,22.4,67.1,41,23.1,31.9,4.1,"4.75","25.4"
"McCutchen, Andrew",457705,2023,36,473,100,69,19,0,12,21.1,15.9,".256",".397",".378","0.141",".312","43","3","11","312","18","8","4","1","7","0","0","4","205","55",,".253",".404",".350",".379",".151",".003","-0.007","71.8",16.6,2,57.3,"89.6",33.7,6.8,7.8,25.5,24.8,30.6,4.1,44.6,"100.329192449",64.4,19.9,18.6,53.8,46.2,49.8,78.4,7.4,80.1,50.2,44.7,27.4,41.6,48.3,30.6,21.1,60.2,42.9,27.2,25.2,4.8,"4.44","28.4"
"Turner, Justin",457759,2023,38,626,154,100,31,0,23,17.6,8.1,".276",".455",".345","0.179",".304","96","1","4","537","21","10","11","0","8","0","0","6","174","86",,".260",".444",".336",".331",".184",".016",".011","66.4",0.5,4,53.3,"89.5",36.8,5.7,9.3,25.8,29.7,27.3,2.2,39,"98.567368238",63.5,12.2,25.7,31.1,68.9,49.2,74.3,8.3,87.8,50.8,41.6,17.5,45,37.9,34.8,27.3,60.7,35.7,33,25.1,6.2,"4.83","25.2"
"Votto, Joey",458015,2023,39,242,42,22,6,0,14,25.6,11.2,".202",".433",".314","0.231",".212","38","0","0","164","9","2","7","0","6","0","0","0","125","26",,".189",".367",".298",".303",".178",".013",".066","68.7",6.2,8,46,"89.3",23.3,11,5.5,16.4,26,36.3,4.8,39.7,"99.750614932",69.8,24.5,25.2,48.7,51.3,49.5,82.8,6.8,75.5,50.5,40.2,30.8,47.8,45.2,35.6,19.2,59.9,48.6,32.9,13,5.5,"4.73","25.6"
"Andrus, Elvis",462101,2023,34,406,94,67,20,1,6,17.5,6.2,".251",".358",".304","0.107",".294","44","4","12","265","13","11","4","1","8","2","1","2","125","39",,".231",".313",".267",".286",".082",".020",".045","68.4",7.3,4,58.4,"87.5",28.1,2.6,4.9,23.2,20.9,44.4,3.3,31,"97.859729735",61.4,11.9,28,38.6,61.4,49.3,69.6,7.2,88.1,50.7,41.9,20.1,45,38.9,37.6,23.5,64.8,55.9,19.9,19.9,4.2,"4.57","26.5"
"Santana, Carlos",467793,2023,37,619,132,75,33,1,23,16.8,10.5,".240",".429",".318","0.189",".255","86","0","6","419","17","11","0","0","6","0","0","4","217","78",,".240",".378",".308",".319",".138",".000",".051","71.4",13.9,3,61.2,"88.8",31.3,6.7,4.7,24.2,28.2,34.7,1.3,36.4,"99.367236",68.2,17.2,24,34.9,65.1,51.9,78.5,7.3,82.8,48.1,41.3,22.1,45.3,47.1,32.2,20.7,56.2,43.3,24.2,22.2,10.2,"4.59","25.9"
"Belt, Brandon",474832,2023,35,404,86,44,23,0,19,34.9,15.1,".254",".490",".369","0.236",".370","43","0","0","294","24","5","2","1","12","0","0","2","207","53",,".212",".437",".336",".335",".225",".042",".053","72.7",16.9,7,43.4,"88.7",44.5,15,6,23,32.5,15.5,8,40,"100.691962551",67,25,17.9,57.3,42.7,52.9,88.2,6.6,75,47.1,45.1,32.5,41,41,32,27,55.3,31,39,24,6,"4.6","26.2"
