name;player_id;year;player_age;pa;hit;single;double;triple;home_run;k_percent;bb_percent;batting_avg;slg_percent;on_base_percent;isolated_power;babip;b_rbi;r_total_caught_stealing;r_total_stolen_base;b_foul;b_foul_tip;b_gnd_into_dp;b_hit_by_pitch;b_intent_walk;b_pinch_hit;b_pinch_run;b_sac_bunt;b_sac_fly;b_swinging_strike;r_run;r_stolen_base_pct;xba;xslg;xwoba;xobp;xiso;xbadiff;xslgdiff;avg_swing_speed;fast_swing_rate;swords;ideal_angle_rate;exit_velocity_avg;sweet_spot_percent;barrel_batted_rate;solidcontact_percent;flareburner_percent;poorlyunder_percent;poorlytopped_percent;poorlyweak_percent;hard_hit_percent;avg_best_speed;z_swing_percent;z_swing_miss_percent;oz_swing_percent;oz_swing_miss_percent;oz_contact_percent;out_zone_percent;meatball_swing_percent;meatball_percent;iz_contact_percent;in_zone_percent;edge_percent;whiff_percent;swing_percent;pull_percent;straightaway_percent;opposite_percent;f_strike_percent;groundballs_percent;flyballs_percent;linedrives_percent;popups_percent;hp_to_1b;sprint_speed
Gorman, Nolan;669357;2023;23;464;96;52;17;0;27;31.9;11.4;0.236;0.478;0.328;0.242;0.296;76;2;7;336;27;5;3;1;7;0;0;2;282;59;;0.236;0.496;0.353;0.328;0.261;0;-0.018;74;37.3;6;38;91;38.8;16.5;7.3;23.8;29.6;19.6;2.7;48.5;102.010586077;72.9;28;27.7;53.3;46.7;52.9;89.6;7.2;72;47.1;42.2;35.6;49;43.1;28.8;28.1;61;28.5;38.5;23.8;9.2;4.46;26.5
Murphy, Tom;608596;2023;32;159;42;22;12;0;8;27.7;6.3;0.29;0.538;0.335;0.248;0.358;17;0;0;112;2;4;1;0;13;0;0;2;87;19;;0.261;0.498;0.351;0.315;0.237;0.029;0.04;72.5;18.8;1;56.5;89.5;40.8;14.6;4.9;28.2;19.4;31.1;1.9;44.7;101.351947692;73.1;21.5;29.9;53.5;46.5;48.6;81.3;8.1;78.5;51.4;44.5;30.4;52.1;46.6;31.1;22.3;62.3;45.6;28.2;24.3;1.9;4.76;26
Aguilar, Jesús;542583;2023;33;115;23;16;2;0;5;27;7;0.221;0.385;0.281;0.164;0.261;9;0;0;85;6;3;1;2;9;0;0;1;42;8;;0.188;0.318;0.247;0.254;0.13;0.033;0.067;;;;;86.7;33.8;6.8;5.4;18.9;33.8;31.1;2.7;29.7;97.05863973;57.3;18.2;34.4;34.7;65.3;46.7;60.7;6.3;81.8;53.3;45.1;23.9;46.7;39.2;36.5;24.3;69.3;35.1;25.7;25.7;13.5;;23
Amaya, Miguel;665804;2023;24;156;28;19;4;0;5;25.6;7.7;0.214;0.359;0.329;0.145;0.264;18;0;0;116;10;2;11;0;7;0;1;1;67;17;;0.232;0.393;0.332;0.346;0.161;-0.018;-0.034;73.6;36.7;4;63.3;87;34.4;9.7;6.5;22.6;32.3;21.5;7.5;33.3;98.56994087;64.4;17.4;28.2;50;50;50;71.9;9.1;82.6;50;41.7;27.3;46.3;40.9;34.4;24.7;60.3;36.6;35.5;18.3;9.7;4.68;26
Bohm, Alec;664761;2023;26;611;153;102;31;0;20;15.4;6.9;0.274;0.437;0.327;0.163;0.296;97;1;4;449;25;23;5;1;0;0;0;6;173;74;;0.29;0.453;0.343;0.342;0.163;-0.016;-0.016;72;20.2;3;51.2;89.4;35.1;5.7;7;26.6;24.7;33.6;2.3;41.7;100.435445021;68.9;11.9;30;32.8;67.2;49.1;75.8;7.9;88.1;50.9;43.5;18.1;49.8;28.3;42.1;29.6;60.2;42.6;23.8;28.5;5.1;4.65;26.6
Alu, Jake;666906;2023;26;175;36;31;2;1;2;24;5.7;0.226;0.289;0.282;0.063;0.291;16;1;5;128;15;2;3;0;5;0;1;2;69;14;;0.242;0.339;0.283;0.298;0.097;-0.016;-0.05;67.8;2.4;3;46.5;88.6;35.8;2.5;5.8;28.3;17.5;43.3;1.7;33.3;97.481260847;66;20.3;32.9;39.8;60.2;48.4;76.1;6.8;79.7;51.6;46.6;26.5;50;40.8;38.3;20.8;63.4;55.8;17.5;25;1.7;4.37;28.1
Frelick, Sal;686217;2023;23;223;47;34;9;1;3;16.6;12.6;0.246;0.351;0.341;0.105;0.286;24;0;7;165;6;2;1;0;2;0;0;3;49;29;;0.235;0.304;0.296;0.336;0.069;0.011;0.047;67.1;2.7;7;44.3;83.3;29.3;2.5;2.5;24.2;23.6;42;5.1;23.6;94.342516154;58.2;9.4;29;24.1;75.9;52.1;63.5;5.9;90.6;47.9;41.9;14.6;43.1;29.3;37.6;33.1;58.7;53.5;15.9;21.7;8.9;4.18;28.6
Ibáñez, Andy;628451;2023;30;383;94;58;23;2;11;18;6.3;0.264;0.433;0.312;0.169;0.3;41;0;1;263;11;7;1;0;20;0;1;1;144;42;;0.271;0.446;0.331;0.32;0.175;-0.007;-0.013;69.6;4.7;5;42.2;89.1;33.2;9;4.8;26.3;25.3;31.8;2.4;42.9;99.890798819;70.4;12.8;35;40.5;59.5;52.4;82.7;7.6;87.2;47.6;44.1;22.6;51.8;34.9;39.4;25.6;62.7;44.3;26.6;21.8;7.3;4.43;27.2
Díaz, Elias;553869;2023;32;526;130;90;25;1;14;22.4;6.5;0.267;0.409;0.316;0.142;0.324;72;0;1;406;28;12;2;0;1;0;0;4;265;48;;0.245;0.376;0.296;0.297;0.131;0.022;0.033;73.6;32.8;8;41.9;88.1;31.2;6.2;4.3;28.2;24.7;31.2;4.6;38.4;100.035107459;76.5;19;36.2;45.5;54.5;53.9;81.3;8.1;81;46.1;41;28.4;54.8;40.3;38.2;21.5;62.7;46.5;19.9;25.3;8.3;4.8;25
Sánchez, Gary;596142;2023;30;267;52;24;9;0;19;25.1;7.9;0.217;0.492;0.288;0.275;0.212;47;0;0;155;7;3;4;0;2;0;0;2;109;33;;0.233;0.502;0.343;0.305;0.269;-0.016;-0.01;73.4;34.6;4;62.7;90.1;27.4;15.4;5.1;17.7;28;29.1;4.6;44.6;101.705364318;57.8;16.6;26.5;50.7;49.3;51.1;64.5;8.5;83.4;48.9;41.6;27.6;41.8;44;38.9;17.1;55.1;41.1;33.1;15.4;10.3;4.89;24.9
