"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","slg_percent","on_base_percent","isolated_power","babip","p_earned_run","p_run","p_save","p_blown_save","p_win","p_loss","p_balk","p_era","p_total_stolen_base","p_lob","p_quality_start","p_called_strike","p_gnd_into_dp","p_hit_by_pitch","p_hit_fly","p_hit_ground","p_hit_line_drive","p_hold","p_out_fly","p_out_ground","p_out_line_drive","p_swinging_strike","xba","xslg","woba","xwoba","xbadiff","xslgdiff","wobadiff","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","f_strike_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","n_ff_formatted","ff_avg_speed","ff_avg_break_x","ff_avg_break_z","n_sl_formatted","sl_avg_speed","sl_avg_break_x","sl_avg_break_z","n_ch_formatted","ch_avg_speed","ch_avg_break_x","ch_avg_break_z","n_cu_formatted","cu_avg_speed","cu_avg_break_x","cu_avg_break_z","n_si_formatted","si_avg_speed","si_avg_break_x","si_avg_break_z","n_fc_formatted","fc_avg_speed","fc_avg_break_x","fc_avg_break_z","n_fs_formatted","fs_avg_speed","fs_avg_break_x","fs_avg_break_z","n_kn_formatted","kn_avg_speed","kn_avg_break_x","kn_avg_break_z","n_st_formatted","st_avg_speed","st_avg_break_x","st_avg_break_z","n_sv_formatted","sv_avg_speed","sv_avg_break_x","sv_avg_break_z","n_fo_formatted","fo_avg_speed","fo_avg_break_x","fo_avg_break_z","n_sc_formatted","sc_avg_speed","sc_avg_break_x","sc_avg_break_z","n_fastball_formatted","fastball_avg_speed","fastball_avg_break_x","fastball_avg_break_z","n_breaking_formatted","breaking_avg_speed","breaking_avg_break_x","breaking_avg_break_z","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_break_x","offspeed_avg_break_z"
"Morejon, Adrian",670970,2025,26,"73.2",286,49,41,5,1,2,70,17,24.5,5.9,".236",".235","0.050",".245","17","23","3","4","13","6","0","2.08","9","77","0","206","7","0","7","19","23","20","31","89","15","102",".222",".306",".208",".252","-0.036","-0.070","-0.044",30.2,4,30.7,"73.965707188","92.96996724",23.8,48,69.1,54.3,19.6,19.1,7,"3.1","96.8","5.6","-12.5","24.6","87.5","-5.8","-37.1","6.6","90.5","14.4","-31",,,,,"61.7","97.7","15.3","-18.4","3.5","94","-1.1","-17.8",,,,,"0.5","86.3","7.9","-41.4",,,,,,,,,,,,,,,,,"68.3","97.5","14","-18.1","25.1","87.5","-5.5","-37.2","6.6","90.5","14.4","-31"
"Kerkering, Orion",689147,2025,24,"60.0",266,55,38,11,0,6,65,27,24.4,10.2,".364",".323","0.126",".299","22","28","4","7","8","4","0","3.30","5","76","0","228","5","4","11","21","23","19","29","53","15","103",".229",".341",".300",".294",".009",".023",".006",36.5,6.5,33.5,"73.900155357","93.028676407",23.7,42.9,62.1,43.5,25.3,22.9,8.2,"34","97.5","-11.6","-13",,,,,,,,,,,,,"18","96.4","-16.8","-19.4",,,,,,,,,,,,,"48","86.8","13.7","-34.6",,,,,,,,,,,,,"52","97.1","-13.4","-15.2","48","86.8","13.7","-34.6",,,,
"Sterner, Justin",686993,2025,28,"65.0",266,47,32,5,0,10,70,21,26.3,7.9,".350",".283","0.149",".236","23","24","0","6","4","3","0","3.18","14","63","0","147","3","7","10","10","26","16","45","40","13","152",".205",".361",".278",".285","-0.004","-0.011","-0.007",33.5,9.6,38.9,"79.729549881","94.196491916",30.8,50,61.4,29.9,34.1,24,12,"52.2","93.5","-9.8","-14.4",,,,,,,,,,,,,,,,,"32.4","87.3","5","-31.2",,,,,,,,,"15.4","81.5","15.7","-38.8",,,,,,,,,,,,,"84.6","91.2","-4.1","-20.8","15.4","81.5","15.7","-38.8",,,,
"Gilbert, Logan",669302,2025,28,"131.0",535,104,63,20,1,20,173,31,32.3,5.8,".377",".266","0.166",".278","50","53","0","0","6","6","0","3.44","10","81","8","328","1","7","18","36","50","0","73","93","28","303",".207",".359",".280",".273",".004",".018",".007",32.1,8.6,41.7,"81.144057391","94.674260997",32.9,51.1,69,39.8,28.4,24.1,7.7,"36.1","95.4","-8.4","-13.6","35.3","87.5","0.7","-35.2",,,,,"7.5","82.1","12.9","-43.9","1.5","95.5","-14.2","-16.2",,,,,"19.6","81.7","-4.8","-42.1",,,,,,,,,,,,,,,,,,,,,"37.7","95.4","-8.7","-13.7","42.7","86.5","2.8","-36.7","19.6","81.7","-4.8","-42.1"
"Feltner, Ryan",663372,2025,28,"30.1",135,33,20,9,0,4,25,12,18.5,8.9,".443",".333","0.173",".309","16","17","0","0","0","2","0","4.75","8","23","2","71","2","0","6","14","12","0","21","33","6","61",".226",".343",".336",".282",".044",".100",".054",27.6,4.1,35.7,"79.828118958","94.387792083",26.5,48.5,59.3,48,28.6,18.4,5.1,"33.3","93.6","-3.5","-19.5","17","88","5.4","-29.4","18.6","84.7","-4.7","-32.3","6.3","78.7","10.3","-55.9","12.5","93.4","-10.3","-24",,,,,,,,,,,,,"12.3","81.5","14.5","-42.5",,,,,,,,,,,,,"45.8","93.5","-5.4","-20.7","35.6","84.1","9.4","-38.6","18.6","84.7","-4.7","-32.3"
"Martin, Davis",663436,2025,28,"142.2",601,136,84,29,3,20,104,48,17.3,8,".427",".317","0.176",".275","65","74","0","0","7","10","2","4.10","14","110","9","323","20","6","30","45","61","0","83","158","36","212",".276",".458",".322",".347","-0.025","-0.031","-0.025",36,9.7,44.6,"79.461212182","95.394861477",21.6,49.4,57.6,45.9,26.7,22.2,5.2,"32.7","94","-6.2","-16","4.3","83.4","9.8","-37.5","24.2","90.2","-14.3","-32.6","4.8","78.8","13.7","-53.5","10.7","92.9","-15.4","-23","23.1","88.2","1.9","-30.3",,,,,,,,,,,,,,,,,,,,,,,,,"66.6","91.8","-4.9","-22.1","9.1","81","11.9","-45.9","24.2","90.2","-14.3","-32.6"
"Díaz, Edwin",621242,2025,31,"66.1",258,37,27,6,0,4,98,21,38,8.1,".244",".258","0.080",".264","12","14","28","3","6","3","0","1.63","15","60","0","167","3","8","7","16","14","0","23","47","16","187",".170",".258",".234",".245","-0.006","-0.014","-0.011",32.8,4.6,39.7,"77.057612969","94.369810156",41.5,47.6,55.4,48.1,23.7,23.7,4.6,"52.6","97.2","-13.1","-16.2","47.3","89.1","1.7","-30.4","0.1","94.5","-10.1","-22.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.6","97.2","-13.1","-16.2","47.3","89.1","1.7","-30.4","0.1","94.5","-10.1","-22.8"
"Irvin, Jake",663623,2025,28,"180.0",787,195,116,38,3,38,124,62,15.8,7.9,".492",".334","0.220",".282","114","120","0","0","9","13","1","5.70","10","133","9","524","21","6","53","64","77","0","111","195","61","223",".277",".498",".355",".360","-0.005","-0.006","-0.005",34.8,11.9,47.1,"79.313724864","95.158318554",18.2,46.8,64.9,43.5,27.9,23.2,5.4,"32.2","92.4","-9.4","-17.4","4.4","83.8","7.4","-38.2","7.7","85.6","-15.6","-32.6","29.6","77.8","14.8","-49.6","21.9","91.9","-16.5","-26","4.1","87.4","2.8","-28.9",,,,,,,,,,,,,,,,,,,,,,,,,"58.2","91.8","-11.2","-21.4","34.1","78.6","13.8","-48.1","7.7","85.6","-15.6","-32.6"
"Spence, Mitch",687765,2025,27,"84.2",375,96,60,20,0,16,66,26,17.6,6.9,".480",".337","0.199",".305","48","57","1","0","3","6","0","5.10","5","66","0","200","7","4","18","34","44","4","51","88","27","150",".288",".495",".350",".361","-0.007","-0.015","-0.011",37.8,11.9,42.8,"79.322783986","94.752186945",25.7,50.8,62.7,43.9,25.2,25.9,5,,,,,"26.8","84.5","13.7","-36.4","1","87.8","-8.1","-32.1","17.6","81.8","10.3","-51.6","9.4","92.6","-7.5","-27.2","45.2","91.1","3.9","-28.5",,,,,,,,,,,,,,,,,,,,,,,,,"54.6","91.3","1.9","-28.3","44.3","83.4","12.4","-42.4","1","87.8","-8.1","-32.1"
"Montas, Frankie",593423,2025,32,"38.2",178,48,26,14,0,8,32,14,18,7.9,".534",".356","0.236",".328","27","29","0","0","3","2","0","6.28","4","32","0","108","3","1","10","17","21","0","26","37","10","78",".281",".468",".380",".349",".017",".066",".031",30.5,11.5,40.5,"76.120782769","94.543882868",23.8,48.6,64,41.2,28.2,23.7,6.9,"24.3","95.6","-4.9","-14.1","16","86.7","5.8","-34.1",,,,,,,,,"18.4","95.1","-14.5","-20.2","10.2","91.4","1.1","-24.6","20.6","86.3","-12","-33.5",,,,,"10.6","84.7","10.7","-29.3",,,,,,,,,,,,,"52.8","94.6","-7.1","-18.2","26.6","85.9","7.8","-32.1","20.6","86.3","-12","-33.5"
